library_name,library_base_url,book_club_name,book_club_url,rss_url,notes
Contra Costa County Library,https://ccclib.bibliocommons.com/,,,,
Cooperative Computer Services,https://ccslib.bibliocommons.com/,,,,
Cooperative Computer Services (Glenview Parent),https://ccsil-parent.bibliocommons.com/,,,,
Coopersville Area District Library,https://coopersville.bibliocommons.com/,,,,
Coquitlam Public Library,https://coqlibrary.bibliocommons.com/,,,,
Coronado Public Library,https://coronado.bibliocommons.com/,,,,
County of Brant Public Library,https://brant.bibliocommons.com/,,,,
County of Prince Edward Public Library & Archives,https://pec.bibliocommons.com/,,,,
Coutts Municipal Library,https://coutts.bibliocommons.com/,,,,
Crooked Tree District Library,https://ctdl.bibliocommons.com/,,,,
Croton Township Library,https://croton.bibliocommons.com/,,,,
Crowsnest Community Library,https://crowsnestpass.bibliocommons.com/,,,,
Cumberland Public Libraries,https://samepagecpl.bibliocommons.com/,,,,
Dallas County Library,https://dallascountylibrary.bibliocommons.com/,,,,
Daly City Public Library,https://dalycity.bibliocommons.com/,,,,
Daniel Boone Regional Library,https://dbrl.bibliocommons.com/,,,,
Daviess County Public Library,https://dcpl.bibliocommons.com/,,,,
Dayton Metro Library,https://dayton.bibliocommons.com/,,,,
Dayton Metro Library (Consortium Parent),https://dayton-parent.bibliocommons.com/,,,,
Delaware County District Library,https://delawarelibrary.bibliocommons.com/,,,,
Delta College Library,https://delta.bibliocommons.com/,,,,
Denton Public Library,https://denton.bibliocommons.com/,,,,
Department Of Education,https://unioncatalogdoe.bibliocommons.com/,,,,
Deschutes Public Library,https://dpl.bibliocommons.com/,,,,
Dorling Kindersley Publisher Library,https://dk.bibliocommons.com/,,,,
Dorr Township Library,https://dorr.bibliocommons.com/,,,,
Douglas County Libraries,https://dcl.bibliocommons.com/,,,,
Dr. MLK Academy,https://mlkacademy.bibliocommons.com/,,,,
Dryden Township Library,https://dry.bibliocommons.com/,,,,
Durham County Library,https://durhamcounty-horizon.bibliocommons.com/,,,,
Durham County Library,https://durhamcounty.bibliocommons.com/,,,,
ECW Press Publisher Library,https://ecw.bibliocommons.com/,,,,
East Chicago Public Library,https://ec.bibliocommons.com/,,,,
East Gwillimbury Public Library,https://egpl.bibliocommons.com/,,,,
East Lansing Public Library,https://elpl.bibliocommons.com/,,,,
Eastern Counties Regional Library,https://samepageecrl.bibliocommons.com/,,,,
Edmonton Public Library,https://epl-acquisitions.bibliocommons.com/,,,,
Edmonton Public Library,https://epl-kids-2012.bibliocommons.com/,,,,
Edmonton Public Library,https://epl-kids-2015.bibliocommons.com/,,,,
Edmonton Public Library,https://epl-src-kids.bibliocommons.com/,,,,
Edmonton Public Library,https://epl-src-teen.bibliocommons.com/,,,,
Edmonton Public Library,https://epl-summer-2014.bibliocommons.com/,,,,
Edmonton Public Library,https://epl-teens-2012.bibliocommons.com/,,,,
Edmonton Public Library,https://epl.bibliocommons.com/,,,,
EiNetwork,https://einetwork-parent.bibliocommons.com/,,,,
Elk Grove Village Public Library,https://egvpl.bibliocommons.com/,,,,
Evanston Public Library,https://evanstonlibrary.bibliocommons.com/,,,,
Fennville District Library,https://fennville.bibliocommons.com/,,,,
Flat River Community Library,https://flatriver.bibliocommons.com/,,,,
Fort Saskatchewan Public Library,https://fspl.bibliocommons.com/,,,,
Fort St John Public Library,https://fsjpl.bibliocommons.com/,,,,
Fort Vancouver Regional Libraries,https://fvrlibraries.bibliocommons.com/,,,,
Frankenmuth James E. Wickson District Library,https://fkm.bibliocommons.com/,,,,
Fraser Valley Regional Library,https://fvrl.bibliocommons.com/,,,,
Freeport District Library,https://freeport.bibliocommons.com/,,,,
Fremont Area District Library,https://fremont.bibliocommons.com/,,,,
Frisco Public Library,https://friscolibrary.bibliocommons.com/,,,,
Fruitport District Library,https://fruitport.bibliocommons.com/,,,,
Fulton County Library System,https://fulcolibrary.bibliocommons.com/,,,,
Gail Borden Public Library District,https://gailborden.bibliocommons.com/,,,,
Gary Byker Memorial Library,https://garybyker.bibliocommons.com/,,,,
Georgetown Township Public Library,https://georgetown.bibliocommons.com/,,,,
Georgina Public Library,https://georgina.bibliocommons.com/,,,,
Gibsons & District Public Library,https://gibsons.bibliocommons.com/,,,,
Gladwin County District Library,https://gcdl.bibliocommons.com/,,,,
"Glendale Library, Arts & Culture",https://glac.bibliocommons.com/,,,,
Glenview Public Library,https://glenviewpl.bibliocommons.com/,,,,
Glenwood Municipal Library,https://glenwood.bibliocommons.com/,,,,
Grand Rapids Public Library,https://grpl.bibliocommons.com/,,,,
Grant Area District Library,https://grant.bibliocommons.com/,,,,
Grant County Library,https://grantcountylibrary.bibliocommons.com/,,,,
Granum Public Library,https://granum.bibliocommons.com/,,,,
Grassy Lake Public Library,https://grassylake.bibliocommons.com/,,,,
Greater Sudbury Public Library,https://gspl.bibliocommons.com/,,,,
Greene County Public Library,https://greenelibrary.bibliocommons.com/,,,,
Greenwich Library,https://greenwichlibrary.bibliocommons.com/,,,,
Greystone Books Publisher Library,https://greystone.bibliocommons.com/,,,,
Guelph Public Library,https://guelphpl.bibliocommons.com/,,,,
Hackley Public Library,https://hackley.bibliocommons.com/,,,,
Haldimand County Public Library,https://haldimand.bibliocommons.com/,,,,
Haliburton County Public Library,https://haliburton.bibliocommons.com/,,,,
Halifax Public Libraries,https://halifax.bibliocommons.com/,,,,
Hamilton Public Library,https://hpl.bibliocommons.com/,,,,
Harris County Public Library,https://hcpl.bibliocommons.com/,,,,
Harris Parent,https://harmonic-parent.bibliocommons.com/,,,,
Harrison District Library,https://hdl.bibliocommons.com/,,,,
Hastings Public Library,https://hastings.bibliocommons.com/,,,,
Hays Public Library,https://hays.bibliocommons.com/,,,,
Hayward Public Library,https://hayward.bibliocommons.com/,,,,
Henika District Library,https://henika.bibliocommons.com/,,,,
Hennepin County Library,https://hclib.bibliocommons.com/,,,,
Herrick District Library,https://herrickdl.bibliocommons.com/,,,,
Hesperia Community Library,https://hesperia.bibliocommons.com/,,,,
Hillsborough County Public Library Cooperative,https://hcplc.bibliocommons.com/,,,,
Home Township Library,https://hometownship.bibliocommons.com/,,,,
Hopkins District Library,https://hopkins.bibliocommons.com/,,,,
Houghton Lake Public Library,https://hlpl.bibliocommons.com/,,,,
House of Anansi Press,https://anansi.bibliocommons.com/,,,,
Houston Public Library,https://houstonbc.bibliocommons.com/,,,,
Howard Miller Public Library,https://howardmiller.bibliocommons.com/,,,,
Huron County Library,https://huron.bibliocommons.com/,,,,
InfoSoup,https://infosoup.bibliocommons.com/,,,,
Innisfil Public Library,https://innisfil.bibliocommons.com/,,,,
Ionia Community Library,https://ionia.bibliocommons.com/,,,,
Iosco-Arenac District Library,https://iadl.bibliocommons.com/,,,,
Jefferson County Public Library,https://jeffcolibrary.bibliocommons.com/,,,,
Jersey City Free Public Library,https://jcfpl.bibliocommons.com/,,,,
Jim and Mary Kearl Library of Cardston,https://cardston.bibliocommons.com/,,,,
John McRae Secondary School,https://johnmccrae.bibliocommons.com/,,,,
Johnson County Library,https://jocolibrary.bibliocommons.com/,,,,
Kaslo & District Public Library,https://kaslo.bibliocommons.com/,,,,
Kawartha Lakes Public Library,https://kawarthalibrary.bibliocommons.com/,,,,
Kenosha Public Library,https://mykpl.bibliocommons.com/,,,,
Kent District Library,https://kdl-parent.bibliocommons.com/,,,,
Kent District Library,https://kdl.bibliocommons.com/,,,,
Kent District Library - Godfrey Lee Schools,https://godfrey-lee.bibliocommons.com/,,,,
Kenton County Public Library,https://kentonlibrary.bibliocommons.com/,,,,
Kids' Catalog | St. Tammany Parish Library,https://stplkids.bibliocommons.com/,,,,
Kids' Catalog | The Indianapolis Public Library,https://indyplkids.bibliocommons.com/,,,,
King County Library System,https://kcls.bibliocommons.com/,,,,
King Township Public Library,https://king.bibliocommons.com/,,,,
Kitimat Public Library Association,https://kitimat.bibliocommons.com/,,,,
Kitsap Regional Library,https://krl.bibliocommons.com/,,,,
Lake County Library,https://lakecountyca.bibliocommons.com/,,,,
Lake Odessa Community Library,https://lakeodessa.bibliocommons.com/,,,,
Lakeland Library Cooperative,https://llc-parent.bibliocommons.com/,,,,
Lakeland Library Cooperative,https://llc.bibliocommons.com/,,,,
Lapeer District Library,https://ldl.bibliocommons.com/,,,,
Las Vegas-Clark County Library District,https://lvccld.bibliocommons.com/,,,,
Laurel County Public Library,https://laurellibrary.bibliocommons.com/,,,,
Lawrence Public Library,https://lawrence.bibliocommons.com/,,,,
Leeds and the Thousand Islands Public Library,https://lti.bibliocommons.com/,,,,
Leighton Township Library,https://leighton.bibliocommons.com/,,,,
Lennox & Addington County,https://countylibrary.bibliocommons.com/,,,,
Lethbridge Public Library,https://lethlib.bibliocommons.com/,,,,
Lillooet Area Library Association,https://lillooet.bibliocommons.com/,,,,
Livermore Public Library,https://livermorelibrary.bibliocommons.com/,,,,
Local Public Library Partnership,https://lplp.bibliocommons.com/,,,,
Lomond Library,https://lomond.bibliocommons.com/,,,,
Loutit District Library,https://loutit.bibliocommons.com/,,,,
MARINet,https://marinet-parent.bibliocommons.com/,,,,
MARINet,https://marinet.bibliocommons.com/,,,,
MORE Libraries,https://more.bibliocommons.com/,,,,
Mackinaw Area Public Library,https://mackinaw.bibliocommons.com/,,,,
Magrath Public Library,https://magrath.bibliocommons.com/,,,,
Malvern-Hot Spring County Library,https://malvernhsclibrary.bibliocommons.com/,,,,
Margate City Public Library,https://margate.bibliocommons.com/,,,,
Marin County Free Library,https://marinlibrary.bibliocommons.com/,,,,
Markham Public Library,https://markham.bibliocommons.com/,,,,
Marlette District Library,https://mar.bibliocommons.com/,,,,
Menlo Park Library,https://menlopark.bibliocommons.com/,,,,
Mid Michigan College,https://midmich.bibliocommons.com/,,,,
Mid-Ark Regional Library System,https://midark-parent.bibliocommons.com/,,,,
Mid-Ark Regional Library System,https://midark.bibliocommons.com/,,,,
Mid-Continent Public Library,https://mymcpl.bibliocommons.com/,,,,
Milk River Municipal Library,https://milkriver.bibliocommons.com/,,,,
Milo Library,https://milo.bibliocommons.com/,,,,
Mississauga Library,https://mississauga.bibliocommons.com/,,,,
Mississippi Mills Public Library,https://missmills.bibliocommons.com/,,,,
Montmorency County Public Library,https://mcpl.bibliocommons.com/,,,,
Multnomah County Library,https://multcolib.bibliocommons.com/,,,,
Murrindindi Shire Council,https://murrindindi.bibliocommons.com/,,,,
Muskegon Area District Library,https://muskegonadl.bibliocommons.com/,,,,
M̩diath̬que Francophone Emma Morrier,https://mfem.bibliocommons.com/,,,,
Nakusp Public Library,https://nakusp.bibliocommons.com/,,,,
Nanton Thelma Fanning Library,https://nanton.bibliocommons.com/,,,,
Napa County,https://napalibrary-parent.bibliocommons.com/,,,,
"Napa County Library, Biblioteca del Condado de Napa",https://napalibrary.bibliocommons.com/,,,,
Napa Valley College,https://nvc.bibliocommons.com/,,,,
Naperville Public Library,https://naperlib.bibliocommons.com/,,,,
Nelson Public Library,https://nelson.bibliocommons.com/,,,,
New Westminster Public Library,https://newwestminster.bibliocommons.com/,,,,
New York Public Library,https://nypl-ed-off.bibliocommons.com/,,,,
Newaygo Area District Library,https://newaygo.bibliocommons.com/,,,,
Newmarket Public Library,https://newmarketpl.bibliocommons.com/,,,,
Nicasio School,https://nicasioschool.bibliocommons.com/,,,,
North Branch Township Library,https://nbr.bibliocommons.com/,,,,
North Grenville Public Library,https://ngpl.bibliocommons.com/,,,,
North Perth Public Library,https://nppl.bibliocommons.com/,,,,
North Vancouver City Library,https://nvcl.bibliocommons.com/,,,,
Northern Indiana Database Cluster,https://nidc-old.bibliocommons.com/,,,,
Northwood University,https://nor.bibliocommons.com/,,,,
Oakland Public Library,https://oaklandlibrary.bibliocommons.com/,,,,
Oakville Public Library,https://opl.bibliocommons.com/,,,,
Oakville Public Library,https://simon-schuster-bd.bibliocommons.com/,,,,
Ocean City Free Public Library,https://oceancity.bibliocommons.com/,,,,
Okanagan Regional Library,https://orl.bibliocommons.com/,,,,
Olathe Public Library,https://olathe.bibliocommons.com/,,,,
Omaha Public Library,https://omaha-parent-sierra.bibliocommons.com/,,,,
Omaha Public Library,https://omaha-parent.bibliocommons.com/,,,,
Omaha Public Library,https://omaha-sierra.bibliocommons.com/,,,,
Omaha Public Library,https://omaha.bibliocommons.com/,,,,
Ontario Library Consortium,https://olc-parent.bibliocommons.com/,,,,
Orange County Public Library,https://orangecountync.bibliocommons.com/,,,,
Orangeville Public Library,https://orangeville.bibliocommons.com/,,,,
Oshawa Public Libraries,https://oshlib.bibliocommons.com/,,,,
Otsego County Library,https://otsego.bibliocommons.com/,,,,
Ottawa Public Library,https://ottawa-parent.bibliocommons.com/,,,,
Ottawa Public Library,https://ottawa-schools.bibliocommons.com/,,,,
Ottawa Public Library,https://ottawa-summer-2014.bibliocommons.com/,,,,
Ottawa Public Library,https://ottawa-teens-2012.bibliocommons.com/,,,,
Ottawa Public Library,https://ottawa-teens-2013.bibliocommons.com/,,,,
Ottawa Public Library,https://ottawa-teens-2015.bibliocommons.com/,,,,
Ottawa Public Library,https://ottawa-teens-2016.bibliocommons.com/,,,,
Ottawa Public Library,https://ottawa.bibliocommons.com/,,,,
Owen Sound & North Grey Union Public Library,https://osngupl.bibliocommons.com/,,,,
Oxford County Library,https://ocl.bibliocommons.com/,,,,
PAC2,https://pac2.bibliocommons.com/,,,,
Palm Beach County Library System,https://pbclibrary.bibliocommons.com/,,,,
Palo Alto City Library,https://paloalto.bibliocommons.com/,,,,
Patmos Library,https://patmos.bibliocommons.com/,,,,
Pemberton Public Library,https://pemberton.bibliocommons.com/,,,,
Penguin Books Publisher Library,https://penguin.bibliocommons.com/,,,,
Peninsula Library System,https://pls-parent.bibliocommons.com/,,,,
Pere Marquette District Library,https://pmdl.bibliocommons.com/,,,,
Perth East Public Library,https://pepl-src-kids.bibliocommons.com/,,,,
Perth East Public Library,https://pepl.bibliocommons.com/,,,,
Petawawa Public Library,https://petawawa.bibliocommons.com/,,,,
Petoskey District Library,https://petoskey.bibliocommons.com/,,,,
Pickering Public Library,https://pickering-kids-2012.bibliocommons.com/,,,,
Pickering Public Library,https://pickering-src-kids.bibliocommons.com/,,,,
Pickering Public Library,https://pickering.bibliocommons.com/,,,,
Pictou-Antigonish Regional Library,https://samepageparl.bibliocommons.com/,,,,
Picture Butte Municipal Library,https://picturebutte.bibliocommons.com/,,,,
Pigeon District Library,https://pgn.bibliocommons.com/,,,,
Pima County Public Library,https://pima.bibliocommons.com/,,,https://pima.bibliocommons.com/events/rss/all,Verified: library provides /events/rss/all as Events RSS (see citations in chat)
Pincher Creek Municipal Library,https://pinchercreek.bibliocommons.com/,,,,
Pleasanton Public Library,https://pleasantonlibrary.bibliocommons.com/,,,,
Plymouth District Library,https://plymouthlibrary.bibliocommons.com/,,,,
Port Hope Public Library,https://porthope.bibliocommons.com/,,,,
Port Moody Public Library,https://portmoody.bibliocommons.com/,,,,
Poudre Libraries,https://poudrelibraries.bibliocommons.com/,,,,
Powell River Public Library,https://powellriverlibrary.bibliocommons.com/,,,,
Presque Isle District Library,https://pidl.bibliocommons.com/,,,,
Princeton Public Library,https://princetonlibrary.bibliocommons.com/,,,,
Public Libraries of Saginaw,https://sge.bibliocommons.com/,,,,
Public Library of Youngstown and Mahoning County,https://plymc.bibliocommons.com/,,,,
Quinte West Public Library,https://quintewest.bibliocommons.com/,,,,
Ramsey County Library,https://rclreads.bibliocommons.com/,,,,
Random House Group Publisher Library,https://random-house.bibliocommons.com/,,,,
Raymond Public Library,https://raymond.bibliocommons.com/,,,,
Red Deer Public Library,https://rdpl.bibliocommons.com/,,,,
Redwood City Public Library,https://rcpl.bibliocommons.com/,,,,
Region of Waterloo Library,https://rwlibrary.bibliocommons.com/,,,,
Richmond Hill Public Library,https://rhpl.bibliocommons.com/,,,,
Richmond Public Library,https://richmondlibrary.bibliocommons.com/,,,,
Richmond Public Library,https://yourlibrary.bibliocommons.com/,,,,
Rideau Lakes Public Library,https://rideau.bibliocommons.com/,,,,
River Rapids District Library,https://che.bibliocommons.com/,,,,
Rossland Public Library,https://rossland.bibliocommons.com/,,,,
Ruth Hughes Memorial District Library,https://ruthhughes.bibliocommons.com/,,,,
SDG Library,https://sdglibrary.bibliocommons.com/,,,,
Saint Paul Public Library,https://sppl.bibliocommons.com/,,,,
Salem Township Library,https://salem.bibliocommons.com/,,,,
Saline County Library,https://salinecountylibrary.bibliocommons.com/,,,,
Same Page Consortium,https://olca-parent.bibliocommons.com/,,,,
San Antonio Public Library,https://mysapl.bibliocommons.com/,,,,
San Bruno Public Library,https://sbl.bibliocommons.com/,,,,
San Diego County Library,https://sdcl.bibliocommons.com/,,,,
San Diego Public Library,https://sandiego.bibliocommons.com/,,,,
San Francisco Public Library,https://sfpl-adults-2015.bibliocommons.com/,,,,
San Francisco Public Library,https://sfpl-kids-2015.bibliocommons.com/,,,,
San Francisco Public Library,https://sfpl-teens-2015.bibliocommons.com/,,,,
San Francisco Public Library,https://sfpl.bibliocommons.com/,,,,
San Jos̩ Public Library,https://sjpl.bibliocommons.com/,,,,
San Mateo County Libraries,https://smcl.bibliocommons.com/,,,,
San Mateo Public Library,https://smplibrary.bibliocommons.com/,,,,
Sandusky District Library,https://san.bibliocommons.com/,,,,
Santa Clara City Library,https://sclibrary.bibliocommons.com/,,,,
Santa Clara County Library,https://sccl-adult-src.bibliocommons.com/,,,,
Santa Clara County Library,https://sccl-src-adults.bibliocommons.com/,,,,
Santa Clara County Library,https://sccl-src-kids.bibliocommons.com/,,,,
Santa Clara County Library,https://sccl-src-teens.bibliocommons.com/,,,,
Santa Clara County Library,https://sccl.bibliocommons.com/,,,,
Saranac Clarksville District Library,https://saranac-clarksville.bibliocommons.com/,,,,
Saugatuck-Douglas District Library,https://saugatuck-douglas.bibliocommons.com/,,,,
Shortgrass Library System,https://shortgrass.bibliocommons.com/,,,,
Sitka Library,https://sitka.bibliocommons.com/,,,,
Sitka Library,https://tnrd.bibliocommons.com/,,,,
Skokie Public Library,https://skokielibrary.bibliocommons.com/,,,,
Smithers Public Library,https://smithers.bibliocommons.com/,,,,
Sno-Isle Libraries,https://sno-isle.bibliocommons.com/,,,,
Solano Community College,https://scc.bibliocommons.com/,,,,
Sonoma County Library,https://sonoma-parent.bibliocommons.com/,,,,
Sonoma County Library,https://sonoma.bibliocommons.com/,,,,
South San Francisco Public Library,https://ssf.bibliocommons.com/,,,,
South Shore Public Libraries,https://samepagesspl.bibliocommons.com/,,,,
Sparta Carnegie Township Library,https://spartacarnegie.bibliocommons.com/,,,,
Spring Lake District Library,https://springlake.bibliocommons.com/,,,,
Squamish Public Library,https://squamish.bibliocommons.com/,,,,
St Helena Public Library,https://shpl.bibliocommons.com/,,,,
St. Albert Public Library,https://stalbert.bibliocommons.com/,,,,
St. Charles District Library,https://stc.bibliocommons.com/,,,,
St. Joseph County Public Library,https://sjcpl.bibliocommons.com/,,,,
St. Louis Public Library,https://slpl-parent.bibliocommons.com/,,,,
St. Louis Public Library - City,https://slpl.bibliocommons.com/,,,,
St. Marys Public Library,https://stmarys-kids-2012.bibliocommons.com/,,,,
St. Marys Public Library,https://stmarys.bibliocommons.com/,,,,
St. Tammany Parish Library,https://stpl-parent.bibliocommons.com/,,,,
St. Tammany Parish Library,https://stpl.bibliocommons.com/,,,,
St. Thomas Public Library,https://stthomas.bibliocommons.com/,,,,
Stark Library,https://starklibrary.bibliocommons.com/,,,,
Stavely Municipal Library,https://stavely.bibliocommons.com/,,,,
Stouffville Library,https://wsplibrary.bibliocommons.com/,,,,
Stratford Public Library,https://pcin.bibliocommons.com/,,,,
Stratford Public Library,https://spl-kids-2012.bibliocommons.com/,,,,
Stratford Public Library,https://spl.bibliocommons.com/,,,,
Strathcona County Library,https://scl.bibliocommons.com/,,,,
Sunnyvale Public Library,https://sunnyvale.bibliocommons.com/,,,,
Surrey Libraries,https://surrey.bibliocommons.com/,,,,
Taber Public Library,https://taber.bibliocommons.com/,,,,
Tacoma Public Library,https://tacoma-adults-2016.bibliocommons.com/,,,,
Tacoma Public Library,https://tacoma-kids-2016.bibliocommons.com/,,,,
Tacoma Public Library,https://tacoma-teens-2016.bibliocommons.com/,,,,
Tacoma Public Library,https://tacoma.bibliocommons.com/,,,,
Tahquamenon Area School-Public Library,https://tahq.bibliocommons.com/,,,,
Tamarack District Library,https://tamarack.bibliocommons.com/,,,,
The Indianapolis Public Library,https://indypl-horizon.bibliocommons.com/,,,,
The Indianapolis Public Library,https://indypl-parent.bibliocommons.com/,,,,
The Indianapolis Public Library,https://indypl.bibliocommons.com/,,,,
The Indianapolis Public Library,https://indyplkids-horizon.bibliocommons.com/,,,,
The Kansas City Public Library,https://kclibrary.bibliocommons.com/,,,,
The New York Public Library (Demo Site),https://nypl-demo.bibliocommons.com/,,,,
The Seattle Public Library,https://seattle-adults-2013.bibliocommons.com/,,,,
The Seattle Public Library,https://seattle-src-adults.bibliocommons.com/,,,,
The Seattle Public Library,https://seattle-src-kids.bibliocommons.com/,,,,
The Seattle Public Library,https://seattle-src-teens.bibliocommons.com/,,,,
The Seattle Public Library,https://seattle-summer-2014.bibliocommons.com/,,,,
The Seattle Public Library,https://seattle-teens-2013.bibliocommons.com/,,,,
The Seattle Public Library,https://seattle.bibliocommons.com/,,,,
